n_estimators,accuracy,f1_score,recall,roc_auc,,,accuracy,f1_score,recall,roc_auc
213,0.983492615,0.912844037,0.865217391,0.989501847,,,,,,
214,0.983492615,0.912844037,0.865217391,0.989451486,,,,,,
215,0.98392702,0.915331808,0.869565217,0.989422108,,,,,,
216,0.983492615,0.912844037,0.865217391,0.98942001,,,,,,
217,0.983492615,0.912844037,0.865217391,0.989489256,,,,,,
218,0.98392702,0.915331808,0.869565217,0.989470371,,,,,,
219,0.983492615,0.912844037,0.865217391,0.989438895,,,,,,
220,0.98392702,0.915331808,0.869565217,0.989392731,,,,,,
221,0.983492615,0.912844037,0.865217391,0.989399026,,,,,,
222,0.983492615,0.912844037,0.865217391,0.989386436,,,,,,
223,0.983492615,0.912844037,0.865217391,0.989369649,,,,,,
224,0.983492615,0.912844037,0.865217391,0.989472469,,,,,,
225,0.983492615,0.912844037,0.865217391,0.989461978,,,,,,
226,0.983492615,0.912844037,0.865217391,0.989474568,,,,,,
227,0.98305821,0.910755149,0.865217391,0.989531224,,,,,,
228,0.983492615,0.912844037,0.865217391,0.989480863,,,,,,
229,0.983492615,0.912844037,0.865217391,0.989468273,,,,,,
230,0.983492615,0.912844037,0.865217391,0.989438895,,,,,,
231,0.983492615,0.912844037,0.865217391,0.989470371,,,,,,
232,0.983492615,0.912844037,0.865217391,0.989457781,,,,,,
233,0.983492615,0.912844037,0.865217391,0.989457781,,,,,,
234,0.983492615,0.912844037,0.865217391,0.989436797,,,,,,
235,0.983492615,0.912844037,0.865217391,0.989476666,,,,,,
236,0.983492615,0.912844037,0.865217391,0.989409518,,,,,,
237,0.983492615,0.912844037,0.865217391,0.989491355,,,,,,
238,0.983492615,0.912844037,0.865217391,0.989422108,,,,,,
239,0.983492615,0.912844037,0.865217391,0.98942001,,,,,,
240,0.983492615,0.912844037,0.865217391,0.989363354,,,,,,
241,0.983492615,0.912844037,0.865217391,0.989367551,,,,,,
242,0.98392702,0.915331808,0.869565217,0.98934237,,,,,,
243,0.98392702,0.915331808,0.869565217,0.989333977,,,,,,
244,0.98392702,0.915331808,0.869565217,0.989323485,,,,,,
245,0.98392702,0.915331808,0.869565217,0.989306698,,,,,,
246,0.98392702,0.915331808,0.869565217,0.989359157,,,,,,
247,0.98392702,0.915331808,0.869565217,0.989388534,,,,,,
248,0.98392702,0.915331808,0.869565217,0.98934237,,,,,,
249,0.98392702,0.915331808,0.869565217,0.989292009,,,,,,
250,0.983492615,0.912844037,0.865217391,0.989271026,,,,,,
251,0.983492615,0.912844037,0.865217391,0.989233255,,,,,,
252,0.983492615,0.912844037,0.865217391,0.989199681,,,,,,
253,0.983492615,0.912844037,0.865217391,0.989155615,,,,,,
254,0.983492615,0.912844037,0.865217391,0.989119943,,,,,,
255,0.983492615,0.912844037,0.865217391,0.989157714,,,,,,
256,0.983492615,0.912844037,0.865217391,0.989119943,,,,,,
257,0.983492615,0.912844037,0.865217391,0.98913673,,,,,,
258,0.983492615,0.912844037,0.865217391,0.989113648,,,,,,
259,0.983492615,0.912844037,0.865217391,0.989153517,,,,,,
260,0.983492615,0.912844037,0.865217391,0.989109451,,,,,,
261,0.983492615,0.912844037,0.865217391,0.989111549,,,,,,
262,0.983492615,0.912844037,0.865217391,0.989111549,,,,,,
263,0.983492615,0.912844037,0.865217391,0.989105254,,,,,,
264,0.983492615,0.912844037,0.865217391,0.989067484,,,,,,
265,0.983492615,0.912844037,0.865217391,0.989056992,,,,,,
266,0.983492615,0.912844037,0.865217391,0.989145123,,,,,,
267,0.983492615,0.912844037,0.865217391,0.989122041,,,,,,
268,0.983492615,0.912844037,0.865217391,0.989224862,,,,,,
269,0.983492615,0.912844037,0.865217391,0.989275222,,,,,,
270,0.983492615,0.912844037,0.865217391,0.989258435,,,,,,
271,0.983492615,0.912844037,0.865217391,0.989277321,,,,,,
272,0.983492615,0.912844037,0.865217391,0.98921437,,,,,,
273,0.983492615,0.912844037,0.865217391,0.989245845,,,,,,
274,0.983492615,0.912844037,0.865217391,0.989189189,,,,,,
275,0.983492615,0.912844037,0.865217391,0.989205976,,,,,,
276,0.983492615,0.912844037,0.865217391,0.989189189,,,,,,
