n_estimators,learning_rate,train_ratio,val_ratio,test_ratio,train_auc,train_logloss,train_accuracy,train_precision,train_recall,train_f1,val_auc,val_logloss,val_accuracy,val_precision,val_recall,val_f1,test_auc,test_logloss,test_accuracy,test_precision,test_recall,test_f1
15,0.007,0.7,0.15,0.15,0.9881438558082024,0.615297468637682,0.970391061452514,0.7962382445141066,0.9459962756052142,0.8646808510638297,0.9595098203793856,0.6162345001432757,0.9652476107732406,0.7952755905511811,0.8782608695652174,0.8347107438016529,0.9886100386100386,0.6157127225494917,0.9678540399652477,0.7785714285714286,0.9478260869565217,0.8549019607843137
15,0.007,0.7,0.2,0.1,0.9882013300529062,0.6152958079231834,0.9705718010802756,0.7974882260596546,0.9459962756052142,0.8654173764906303,0.9864480765774715,0.6165476855585772,0.9635179153094463,0.770949720670391,0.9019607843137255,0.8313253012048193,0.9900201101358843,0.6168230632059054,0.9609375,0.7473684210526316,0.922077922077922,0.8255813953488372
15,0.007,0.8,0.1,0.1,0.9895359728071753,0.6146570922297271,0.9688722294654498,0.7836021505376344,0.9510603588907015,0.8592483419307295,0.9775311519161013,0.6149742783546231,0.96484375,0.7717391304347826,0.922077922077922,0.8402366863905325,0.9907249046178135,0.6156458173507399,0.9609375,0.7422680412371134,0.935064935064935,0.8275862068965517
15,0.0089,0.6,0.2,0.2,0.9861338252891904,0.5972630458018057,0.9656671012603216,0.7677304964539007,0.941304347826087,0.845703125,0.980627627260502,0.5987497709928543,0.9635179153094463,0.7663043478260869,0.9155844155844156,0.834319526627219,0.9875996708379444,0.5980684861390881,0.9641693811074918,0.7663043478260869,0.9215686274509803,0.8367952522255193
15,0.0089,0.7,0.15,0.15,0.988145011734579,0.5963457844623328,0.9698324022346368,0.7934272300469484,0.9441340782122905,0.8622448979591837,0.9596525096525096,0.5975262522659343,0.9661164205039097,0.8015873015873016,0.8782608695652174,0.8381742738589212,0.9885177102568409,0.5968759036275805,0.9669852302345786,0.7730496453900709,0.9478260869565217,0.8515625
15,0.0089,0.7,0.2,0.1,0.9887291196492656,0.5963771229086787,0.9715030731979885,0.8018867924528302,0.9497206703910615,0.8695652173913043,0.985045827303425,0.5981272587827606,0.9635179153094463,0.770949720670391,0.9019607843137255,0.8313253012048193,0.9903020279286561,0.5983270323806932,0.9609375,0.7473684210526316,0.922077922077922,0.8255813953488372
15,0.0089,0.8,0.1,0.1,0.9895731892642927,0.5956126390975383,0.9690352020860495,0.784656796769852,0.9510603588907015,0.859882005899705,0.9775123573965832,0.5960514897070749,0.96484375,0.7717391304347826,0.922077922077922,0.8402366863905325,0.9906873155787772,0.596865528194079,0.9609375,0.7422680412371134,0.935064935064935,0.8275862068965517
15,0.01,0.6,0.2,0.2,0.9861920832196166,0.5866843724242156,0.9665362885701869,0.7732142857142857,0.941304347826087,0.8490196078431372,0.9807969004203616,0.5883382267603181,0.9635179153094463,0.7634408602150538,0.922077922077922,0.8352941176470589,0.9876824342858225,0.5876230032206097,0.9648208469055375,0.7704918032786885,0.9215686274509803,0.8392857142857143
15,0.01,0.7,0.15,0.15,0.9880920317756455,0.5859562985762925,0.9677839851024208,0.78,0.9441340782122905,0.8542544229149115,0.9592244418331375,0.5873293692137155,0.9652476107732406,0.7952755905511811,0.8782608695652174,0.8347107438016529,0.989252140339097,0.5864010379606159,0.9669852302345786,0.7730496453900709,0.9478260869565217,0.8515625
15,0.01,0.7,0.2,0.1,0.988788084094861,0.5858249263697992,0.9713168187744459,0.8015748031496063,0.9478584729981379,0.8686006825938567,0.9850410979635462,0.5877777040334218,0.9635179153094463,0.770949720670391,0.9019607843137255,0.8313253012048193,0.9903208224481741,0.5880086813666314,0.9609375,0.7473684210526316,0.922077922077922,0.8255813953488372
15,0.01,0.8,0.1,0.1,0.9895788012697311,0.5849894569366387,0.9690352020860495,0.784656796769852,0.9510603588907015,0.859882005899705,0.9775123573965832,0.5854879781703336,0.96484375,0.7717391304347826,0.922077922077922,0.8402366863905325,0.9906873155787772,0.5863897366662294,0.9609375,0.7422680412371134,0.935064935064935,0.8275862068965517
15,0.0113,0.6,0.2,0.2,0.9862052043751182,0.5746657919680382,0.9665362885701869,0.7732142857142857,0.941304347826087,0.8490196078431372,0.9807969004203616,0.5765107689367921,0.9635179153094463,0.7634408602150538,0.922077922077922,0.8352941176470589,0.987672975606065,0.5757155226628973,0.9648208469055375,0.7704918032786885,0.9215686274509803,0.8392857142857143
15,0.0113,0.7,0.15,0.15,0.9881220858614406,0.573838832553476,0.9683426443202979,0.7836166924265843,0.9441340782122905,0.856418918918919,0.9592580157797548,0.5753749496636238,0.9652476107732406,0.7952755905511811,0.8782608695652174,0.8347107438016529,0.9892605338257513,0.5743594563806138,0.9669852302345786,0.7730496453900709,0.9478260869565217,0.8515625
15,0.0113,0.7,0.2,0.1,0.9884248554022222,0.5735469749820661,0.9713168187744459,0.8015748031496063,0.9478584729981379,0.8686006825938567,0.9849323231463352,0.5758345714400731,0.9648208469055375,0.7796610169491526,0.9019607843137255,0.8363636363636363,0.990292630668897,0.5761069236193483,0.9609375,0.7473684210526316,0.922077922077922,0.8255813953488372
15,0.0113,0.8,0.1,0.1,0.9896130640397754,0.5727592969788406,0.9690352020860495,0.784656796769852,0.9510603588907015,0.859882005899705,0.9775123573965832,0.573368714939991,0.96484375,0.7717391304347826,0.922077922077922,0.8402366863905325,0.9906309320202229,0.5742491848641736,0.9609375,0.7422680412371134,0.935064935064935,0.8275862068965517
15,0.0144,0.6,0.2,0.2,0.9865224739151429,0.5473260971221875,0.9669708822251195,0.7759856630824373,0.941304347826087,0.8506876227897839,0.9773691189332029,0.5496217635672104,0.965472312703583,0.772972972972973,0.9285714285714286,0.8436578171091446,0.9885857382026617,0.5486794044765584,0.9661237785016287,0.7790055248618785,0.9215686274509803,0.844311377245509
15,0.0144,0.7,0.15,0.15,0.9881532958736124,0.5462757922134367,0.9685288640595903,0.7848297213622291,0.9441340782122905,0.8571428571428571,0.9590901460466678,0.5482394176587464,0.9652476107732406,0.7952755905511811,0.8782608695652174,0.8347107438016529,0.9883582340104079,0.5471721334985534,0.9669852302345786,0.7730496453900709,0.9478260869565217,0.8515625
15,0.0144,0.7,0.2,0.1,0.9891012122781704,0.5462360808908274,0.9718755820450735,0.804416403785489,0.9497206703910615,0.8710503842869343,0.9842063694749488,0.5491688256876877,0.965472312703583,0.7808988764044944,0.9084967320261438,0.8398791540785498,0.9906497265397409,0.5493016634142184,0.9609375,0.7473684210526316,0.922077922077922,0.8255813953488372
15,0.0144,0.8,0.1,0.1,0.9896346259554069,0.5450673056960563,0.9703389830508474,0.7924016282225237,0.9526916802610114,0.8651851851851852,0.9759993985753754,0.5457590904034183,0.9674479166666666,0.7888888888888889,0.922077922077922,0.8502994011976048,0.990988027891067,0.5468889191254086,0.9635416666666666,0.7578947368421053,0.935064935064935,0.8372093023255814
15,0.015,0.6,0.2,0.2,0.9865358574937543,0.5423076290752553,0.9682746631899174,0.7833935018050542,0.9434782608695652,0.8560157790927022,0.9776700489951757,0.5446811546393248,0.9661237785016287,0.7802197802197802,0.922077922077922,0.8452380952380952,0.9881671916233933,0.5437480316102699,0.9667752442996743,0.7865168539325843,0.9150326797385621,0.8459214501510574
15,0.015,0.7,0.15,0.15,0.9881531032192163,0.5411930346256265,0.9685288640595903,0.7848297213622291,0.9441340782122905,0.8571428571428571,0.959073359073359,0.543239658500121,0.9652476107732406,0.7952755905511811,0.8782608695652174,0.8347107438016529,0.9883666274970623,0.542113393369289,0.9669852302345786,0.7730496453900709,0.9478260869565217,0.8515625
15,0.015,0.7,0.2,0.1,0.9890408989727082,0.5410554126597966,0.9720618364686161,0.8056872037914692,0.9497206703910615,0.8717948717948718,0.9842087341448881,0.5440443202408318,0.965472312703583,0.7808988764044944,0.9084967320261438,0.8398791540785498,0.9910256169301033,0.5440681776660774,0.9635416666666666,0.7578947368421053,0.935064935064935,0.8372093023255814
15,0.015,0.8,0.1,0.1,0.9896319676370415,0.5399595496735297,0.9703389830508474,0.7924016282225237,0.9526916802610114,0.8651851851851852,0.9759993985753754,0.5406889799259461,0.9674479166666666,0.7888888888888889,0.922077922077922,0.8502994011976048,0.9909692333715489,0.5418252358379524,0.9635416666666666,0.7578947368421053,0.935064935064935,0.8372093023255814
15,0.0183,0.6,0.2,0.2,0.9867027585917326,0.5153266130014331,0.9682746631899174,0.7813620071684588,0.9478260869565217,0.8565815324165029,0.9787891326631369,0.5183919834795241,0.9641693811074918,0.7675675675675676,0.922077922077922,0.8377581120943953,0.9880040293975766,0.5172967709676229,0.9661237785016287,0.7790055248618785,0.9215686274509803,0.844311377245509
