n_estimators,learning_rate,train_ratio,val_ratio,test_ratio,train_auc,train_logloss,train_accuracy,train_precision,train_recall,train_f1,val_auc,val_logloss,val_accuracy,val_precision,val_recall,val_f1,test_auc,test_logloss,test_accuracy,test_precision,test_recall,test_f1,split_label,overfit_auc
85,0.0234,0.8,0.1,0.1,0.9946140993070944,0.14092388738287448,0.984354628422425,0.8852459016393442,0.9690048939641109,0.9252336448598131,0.9790253162177908,0.14639398000752776,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9903208224481741,0.15297228583702493,0.9739583333333334,0.8275862068965517,0.935064935064935,0.8780487804878049,80/10/10,0.01558878308930367
45,0.06,0.8,0.1,0.1,0.9974997038928709,0.09914472271853443,0.9874511082138201,0.9085365853658537,0.9722675367047309,0.9393223010244287,0.9786682203469469,0.10911822682152483,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9900483019151616,0.11466653170589747,0.9778645833333334,0.875,0.9090909090909091,0.89171974522293,80/10/10,0.01883148354592401
75,0.04,0.8,0.1,0.1,0.9983351542814137,0.08503671449642526,0.988102998696219,0.9141104294478528,0.9722675367047309,0.9422924901185771,0.9795233709850207,0.0969724184458789,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9891273704587743,0.10476306333333092,0.9765625,0.8641975308641975,0.9090909090909091,0.8860759493670886,80/10/10,0.018811783296392992
395,0.01,0.8,0.1,0.1,0.9992937734208924,0.060889663927610915,0.989406779661017,0.9215384615384615,0.9771615008156607,0.948535233570863,0.98201364482117,0.0804237197490592,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9838367132144267,0.08817856768890076,0.98046875,0.8974358974358975,0.9090909090909091,0.9032258064516129,80/10/10,0.01728012859972239
335,0.007,0.8,0.1,0.1,0.9956537971567218,0.1172230790423255,0.9866362451108214,0.9028831562974203,0.9706362153344209,0.9355345911949685,0.9806322476365891,0.1246342887726289,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9890427951209427,0.13296935192812778,0.9752604166666666,0.8452380952380952,0.922077922077922,0.8819875776397516,80/10/10,0.015021549520132682
325,0.0113,0.8,0.1,0.1,0.9990394609639239,0.0669139058936678,0.9884289439374185,0.9156441717791411,0.9738988580750407,0.9438735177865613,0.9816377544308079,0.08387567965048733,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9841374255267163,0.09280855653429532,0.9778645833333334,0.875,0.9090909090909091,0.89171974522293,80/10/10,0.017401706533116013
255,0.015,0.8,0.1,0.1,0.9991531779162268,0.0638821633608706,0.9889178617992177,0.9185867895545314,0.9755301794453507,0.9462025316455697,0.983047343394666,0.08130539771027155,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.982859398199485,0.09105953715957545,0.98046875,0.8875,0.922077922077922,0.9044585987261147,80/10/10,0.01610583452156078
255,0.0144,0.8,0.1,0.1,0.9989730030047858,0.0675737223637803,0.988754889178618,0.9184615384615384,0.9738988580750407,0.9453681710213777,0.9824459187700867,0.08379705780306689,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9839306858120171,0.09433481635823371,0.98046875,0.8875,0.922077922077922,0.9044585987261147,80/10/10,0.016527084234699063
255,0.0113,0.8,0.1,0.1,0.9981165814380262,0.09010146376163337,0.9874511082138201,0.9085365853658537,0.9722675367047309,0.9393223010244287,0.9813558366380364,0.1016994190305624,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9865807130640705,0.11134557358337072,0.98046875,0.8875,0.922077922077922,0.9044585987261147,80/10/10,0.01676074479998979
255,0.01,0.8,0.1,0.1,0.9965915928023371,0.10537394630604241,0.9866362451108214,0.9016641452344932,0.9722675367047309,0.9356357927786499,0.9798992613753829,0.1150588381954894,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9880842746255192,0.12351113594074464,0.9778645833333334,0.8658536585365854,0.922077922077922,0.8930817610062893,80/10/10,0.016692331426954254
365,0.0113,0.8,0.1,0.1,0.9993832701391985,0.057578460556772446,0.9903846153846154,0.9274691358024691,0.9804241435562806,0.9532117367168914,0.9823707406920141,0.07719977681172878,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9832164940703291,0.08575995719227536,0.9817708333333334,0.8987341772151899,0.922077922077922,0.9102564102564102,80/10/10,0.017012529447184344
235,0.015,0.8,0.1,0.1,0.9988997515653802,0.07017618641060996,0.9885919165580183,0.9170506912442397,0.9738988580750407,0.944620253164557,0.9826714530043039,0.08594953050103792,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9838179186949084,0.09642606742047337,0.98046875,0.8875,0.922077922077922,0.9044585987261147,80/10/10,0.016228298561076326
245,0.0144,0.8,0.1,0.1,0.9988229557014874,0.07087348602850091,0.9885919165580183,0.9183359013867488,0.9722675367047309,0.9445324881141046,0.982164000977315,0.08584169880583455,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9841938090852707,0.0967273747668486,0.9791666666666666,0.8765432098765432,0.922077922077922,0.8987341772151899,80/10/10,0.016658954724172337
285,0.015,0.8,0.1,0.1,0.999391245094295,0.05587819399695635,0.9900586701434159,0.9272445820433437,0.9771615008156607,0.9515488482922955,0.9831976995508109,0.07587011797965636,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.98201364482117,0.08460683004314844,0.98046875,0.8875,0.922077922077922,0.9044585987261147,80/10/10,0.016193545543484067
275,0.015,0.8,0.1,0.1,0.9993129723868657,0.05839923285519205,0.9897327249022164,0.9256965944272446,0.9755301794453507,0.9499602859412232,0.9828218091604488,0.07757794371527,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9824271242505686,0.0864489600072374,0.98046875,0.8875,0.922077922077922,0.9044585987261147,80/10/10,0.01649116322641686
275,0.0144,0.8,0.1,0.1,0.9991782842563458,0.06196174834923312,0.9889178617992177,0.9198767334360555,0.9738988580750407,0.9461172741679873,0.9813182475990002,0.08012467606494789,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9834984118631007,0.08958894538019034,0.98046875,0.8875,0.922077922077922,0.9044585987261147,80/10/10,0.01786003665734559
365,0.007,0.8,0.1,0.1,0.996757885384536,0.10533827906991278,0.9871251629726207,0.9057750759878419,0.9722675367047309,0.937844217151849,0.981290055819723,0.11420832133347047,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9880090965474467,0.12312047797546073,0.9791666666666666,0.8765432098765432,0.922077922077922,0.8987341772151899,80/10/10,0.015467829564813074
265,0.015,0.8,0.1,0.1,0.9992592152821407,0.06086451056298855,0.9890808344198174,0.92,0.9755301794453507,0.9469517022961204,0.9826338639652676,0.07924067053113597,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9826150694457496,0.08866154263084075,0.98046875,0.8875,0.922077922077922,0.9044585987261147,80/10/10,0.016625351316873038
265,0.0113,0.8,0.1,0.1,0.9983224534270007,0.0858684277888728,0.9876140808344198,0.9099236641221374,0.9722675367047309,0.9400630914826499,0.9815625763527356,0.09804972628714975,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9858665213223825,0.10806801956603705,0.9791666666666666,0.8765432098765432,0.922077922077922,0.8987341772151899,80/10/10,0.016759877074265073
295,0.0089,0.8,0.1,0.1,0.9965864238499598,0.1022183013773145,0.9869621903520208,0.9044006069802731,0.9722675367047309,0.9371069182389937,0.9814873982746631,0.1111593968752586,0.9830729166666666,0.9210526315789473,0.9090909090909091,0.9150326797385621,0.9867122747006972,0.12097501636318155,0.9791666666666666,0.8765432098765432,0.922077922077922,0.8987341772151899,80/10/10,0.015099025575296632
