n_estimators,learning_rate,val_auc,test_accuracy,test_f1,test_recall,test_auc
220,0.0359,0.9814001397932531,0.9791530944625407,0.8940397350993378,0.8823529411764706,0.9792949500108774
230,0.0359,0.9814663576500019,0.9791530944625407,0.8940397350993378,0.8823529411764706,0.9796260038023895
240,0.0359,0.9812971342383107,0.9791530944625407,0.8940397350993378,0.8823529411764706,0.9802266299669893
250,0.0359,0.9813412794761432,0.9791530944625407,0.8940397350993378,0.8823529411764706,0.9798340947570539
260,0.0359,0.9812382739212008,0.9798045602605863,0.8970099667774086,0.8823529411764706,0.9800847497706271
270,0.0359,0.9811941286833682,0.9798045602605863,0.8970099667774086,0.8823529411764706,0.9797678839987515
280,0.0359,0.981289776698672,0.9798045602605863,0.8970099667774086,0.8823529411764706,0.9795692517238443
290,0.0359,0.9811499834455358,0.9791530944625407,0.8933333333333333,0.8758169934640523,0.9794273715274823
300,0.0359,0.9811131957473421,0.9791530944625407,0.8933333333333333,0.8758169934640523,0.9786848651665201
310,0.0359,0.981289776698672,0.9791530944625407,0.8933333333333333,0.8758169934640523,0.9783538113750084
320,0.0359,0.9812235588419232,0.9778501628664495,0.8866666666666667,0.869281045751634,0.9781788257994948
330,0.0359,0.980943972335651,0.9778501628664495,0.8866666666666667,0.869281045751634,0.9780842390019201
340,0.0359,0.9810028326527609,0.9798045602605863,0.8963210702341137,0.8758169934640523,0.9782734125970698
350,0.0359,0.9811352683662583,0.9798045602605863,0.8963210702341137,0.8758169934640523,0.9779329001258005
360,0.0359,0.9813486370157819,0.9791530944625407,0.8926174496644296,0.869281045751634,0.9778572306877407
370,0.0359,0.9814590001103631,0.9798045602605863,0.8956228956228957,0.869281045751634,0.9777910199294383
380,0.0359,0.981230916381562,0.9798045602605863,0.8956228956228957,0.869281045751634,0.9779187121061642
390,0.0359,0.981172056064452,0.9798045602605863,0.8956228956228957,0.869281045751634,0.977814666628832
400,0.0359,0.9811573409851746,0.9798045602605863,0.8956228956228957,0.869281045751634,0.9776444103931973
100,0.0599,0.9829746532759445,0.9791530944625407,0.8940397350993378,0.8823529411764706,0.9794746649262697
110,0.0599,0.9825699885958136,0.9804560260586319,0.9,0.8823529411764706,0.9793327847299074
120,0.0599,0.9823051171688187,0.9798045602605863,0.8970099667774086,0.8823529411764706,0.9801651485485656
130,0.0599,0.9819519552661591,0.9804560260586319,0.9,0.8823529411764706,0.9799570575939011
140,0.0599,0.9816135084427767,0.9811074918566776,0.903010033444816,0.8823529411764706,0.9803543221437151
150,0.0599,0.9819004524886878,0.9811074918566776,0.903010033444816,0.8823529411764706,0.9807184813143781
160,0.0599,0.9815693632049443,0.9817589576547231,0.9060402684563759,0.8823529411764706,0.980538766398986
170,0.0599,0.9817312290769967,0.9817589576547231,0.9060402684563759,0.8823529411764706,0.9800894791105057
180,0.0599,0.981951955266159,0.9817589576547231,0.9060402684563759,0.8823529411764706,0.9803779688431089
190,0.0599,0.981922525107604,0.9817589576547231,0.9060402684563759,0.8823529411764706,0.9801887952479592
200,0.0599,0.981863664790494,0.9817589576547231,0.9060402684563759,0.8823529411764706,0.9804820143204411
210,0.0599,0.9815252179671119,0.9817589576547231,0.9060402684563759,0.8823529411764706,0.980647541216197
220,0.0599,0.9814222124121693,0.9817589576547231,0.9060402684563759,0.8823529411764706,0.9803354047842003
230,0.0599,0.9813044917779495,0.9811074918566776,0.9023569023569024,0.8758169934640523,0.9804063448823813
240,0.0599,0.9813633520950594,0.9811074918566776,0.9023569023569024,0.8758169934640523,0.9804394502615326
250,0.0599,0.9813044917779495,0.9817589576547231,0.9054054054054054,0.8758169934640523,0.9802266299669893
260,0.0599,0.9808924695581798,0.9817589576547231,0.9054054054054054,0.8758169934640523,0.9801036671301419
270,0.0599,0.9809881175734835,0.9817589576547231,0.9054054054054054,0.8758169934640523,0.9801982539277169
280,0.0599,0.9808188941617924,0.9817589576547231,0.9054054054054054,0.8758169934640523,0.980302299405049
290,0.0599,0.9805025199573263,0.9817589576547231,0.9054054054054054,0.8758169934640523,0.9799239522147499
