n_estimators,learning_rate,max_depth,num_leaves,val_auc
25,0.0013,12,31,0.9818333690297708
25,0.0013,12,50,0.9819426001285072
25,0.0013,12,80,0.9821653458984793
50,0.0013,8,31,0.9879952880702506
50,0.0013,8,50,0.9880209895052473
50,0.0013,8,80,0.9880209895052473
50,0.0013,10,31,0.9870336260441207
50,0.0013,10,50,0.985952023988006
50,0.0013,10,80,0.9859563075605055
50,0.0013,12,31,0.984039408866995
50,0.0013,12,50,0.9820625401584921
50,0.0013,12,80,0.9821460698222317
75,0.0013,8,31,0.9878817733990148
75,0.0013,8,50,0.9878303705290211
75,0.0013,8,80,0.9878303705290211
75,0.0013,10,31,0.9871107303491111
75,0.0013,10,50,0.9864189333904476
75,0.0013,10,80,0.9864253587491968
75,0.0013,12,31,0.9843135575069607
75,0.0013,12,50,0.9830648961233668
75,0.0013,12,80,0.9830841721996144
100,0.0013,8,31,0.987958877704005
100,0.0013,8,50,0.9878175198115227
100,0.0013,8,80,0.9878175198115227
100,0.0013,10,31,0.9867466266866566
100,0.0013,10,50,0.9863289783679589
100,0.0013,10,80,0.986335403726708
100,0.0013,12,31,0.9843863782394516
100,0.0013,12,50,0.9833861640608266
100,0.0013,12,80,0.9834054401370744
125,0.0013,8,31,0.9878003855215248
125,0.0013,8,50,0.9877661169415293
125,0.0013,8,80,0.9877661169415293
125,0.0013,10,31,0.986575283786678
125,0.0013,10,50,0.986136217605483
125,0.0013,10,80,0.9861426429642322
125,0.0013,12,31,0.9842535874919683
125,0.0013,12,50,0.9830691796958664
125,0.0013,12,80,0.9830927393446134
150,0.0013,8,31,0.9876761619190404
150,0.0013,8,50,0.9876675947740414
150,0.0013,8,80,0.9876675947740414
150,0.0013,10,31,0.9864532019704434
150,0.0013,10,50,0.9859777254230028
150,0.0013,10,80,0.985984150781752
150,0.0013,12,31,0.9843735275219534
150,0.0013,12,50,0.9828721353608909
150,0.0013,12,80,0.9829256800171343
175,0.0013,8,31,0.987472692225316
175,0.0013,8,50,0.9874898265153138
175,0.0013,8,80,0.9874898265153138
175,0.0013,10,31,0.986607410580424
175,0.0013,10,50,0.9861169415292355
175,0.0013,10,80,0.9861126579567359
175,0.0013,12,31,0.9842835724994645
175,0.0013,12,50,0.9827243521096594
175,0.0013,12,80,0.9827157849646605
200,0.0013,8,31,0.987262797172842
200,0.0013,8,50,0.9871856928678517
200,0.0013,8,80,0.9871856928678517
200,0.0013,10,31,0.9864703362604412
200,0.0013,10,50,0.9859541657742558
200,0.0013,10,80,0.9859884343542514
200,0.0013,12,31,0.9843392589419575
200,0.0013,12,50,0.9828614264296424
200,0.0013,12,80,0.9828614264296425
225,0.0013,8,31,0.9872113943028487
225,0.0013,8,50,0.9871771257228528
225,0.0013,8,80,0.9871771257228528
225,0.0013,10,31,0.986496037695438
225,0.0013,10,50,0.9860055686442494
225,0.0013,10,80,0.9860484043692439
225,0.0013,12,31,0.9846134075819233
225,0.0013,12,50,0.983079888627115
225,0.0013,12,80,0.9831013064896125
250,0.0013,8,31,0.9871557078603556
250,0.0013,8,50,0.9871685585778538
250,0.0013,8,80,0.9871685585778538
250,0.0013,10,31,0.9866673805954166
250,0.0013,10,50,0.9861512101092311
250,0.0013,10,80,0.9861683443992288
250,0.0013,12,31,0.9847119297494109
250,0.0013,12,50,0.9832255300920968
250,0.0013,12,80,0.9832469479545941
275,0.0013,8,31,0.9871856928678517
275,0.0013,8,50,0.9871642750053544
275,0.0013,8,80,0.9871642750053544
275,0.0013,10,31,0.9869243949453844
275,0.0013,10,50,0.9863825230242022
275,0.0013,10,80,0.9863996573142
275,0.0013,12,31,0.9848361533518954
275,0.0013,12,50,0.9832683658170914
275,0.0013,12,80,0.9832683658170915
300,0.0013,8,31,0.9871899764403512
300,0.0013,8,50,0.9870957378453631
300,0.0013,8,80,0.9870957378453631
300,0.0013,10,31,0.9870828871278647
300,0.0013,10,50,0.9863825230242023
300,0.0013,10,80,0.9863825230242023
300,0.0013,12,31,0.9849817948168773
300,0.0013,12,50,0.9831826943671022
