n_estimators,rf_accuracy,rf_f1,rf_recall,rf_auc,lgbm_accuracy,lgbm_f1,lgbm_recall,lgbm_auc,hyb_accuracy,hyb_f1,hyb_recall,hyb_auc
102,0.9821894005212859,0.90744920993228,0.8739130434782608,0.9889415813328857,0.9756733275412685,0.8813559322033898,0.9043478260869565,0.9859178277656538,0.9791485664639444,0.8956521739130435,0.8956521739130435,0.9876007218398524
103,0.9821894005212859,0.90744920993228,0.8739130434782608,0.9889331878462312,0.9756733275412685,0.8813559322033898,0.9043478260869565,0.985789827094175,0.9791485664639444,0.8956521739130435,0.8956521739130435,0.9875482625482626
104,0.9821894005212859,0.90744920993228,0.8739130434782608,0.9888702366963237,0.976107732406603,0.8832271762208068,0.9043478260869565,0.9859262212523082,0.9791485664639444,0.8956521739130435,0.8956521739130435,0.9875209837166359
105,0.9826238053866203,0.9099099099099099,0.8782608695652174,0.9889373845895585,0.976107732406603,0.8832271762208068,0.9043478260869565,0.9860332382071513,0.9791485664639444,0.8956521739130435,0.8956521739130435,0.9875482625482626
106,0.9830582102519548,0.9119638826185101,0.8782608695652174,0.9888219741480611,0.976107732406603,0.8832271762208068,0.9043478260869565,0.9859618935705893,0.9791485664639444,0.8951965065502183,0.8913043478260869,0.9874811146550279
107,0.9826238053866203,0.9099099099099099,0.8782608695652174,0.9888660399529965,0.9756733275412685,0.8808510638297873,0.9,0.9859115326506631,0.9800173761946134,0.8991228070175439,0.8913043478260869,0.9875251804599631
108,0.9826238053866203,0.9095022624434389,0.8739130434782608,0.9888723350679873,0.976107732406603,0.8827292110874201,0.9,0.9859346147389626,0.9795829713292789,0.8971553610503282,0.8913043478260869,0.9875125902299815
109,0.9821894005212859,0.90744920993228,0.8739130434782608,0.9888450562363607,0.9769765421372719,0.8865096359743041,0.9,0.9859828772872251,0.9795829713292789,0.8971553610503282,0.8913043478260869,0.9875020983716636
110,0.9826238053866203,0.9095022624434389,0.8739130434782608,0.9887821050864529,0.9769765421372719,0.8865096359743041,0.9,0.9860919926137317,0.9791485664639444,0.8951965065502183,0.8913043478260869,0.9874790162833641
111,0.9826238053866203,0.9095022624434389,0.8739130434782608,0.9888219741480611,0.9765421372719374,0.8851063829787233,0.9043478260869565,0.9861171730736948,0.9787141615986099,0.8932461873638344,0.8913043478260869,0.9875692462648984
112,0.9830582102519548,0.9115646258503401,0.8739130434782608,0.9887422360248448,0.9774109470026064,0.8884120171673819,0.9,0.9861276649320128,0.9795829713292789,0.8971553610503282,0.8913043478260869,0.9875377706899446
113,0.9826238053866203,0.9095022624434389,0.8739130434782608,0.988668793016619,0.9774109470026064,0.8884120171673819,0.9,0.9861150747020312,0.9804517810599479,0.9015317286652079,0.8956521739130435,0.9874538358234011
114,0.9830582102519548,0.9115646258503401,0.8739130434782608,0.9885743662917577,0.9769765421372719,0.886021505376344,0.8956521739130435,0.9860290414638241,0.9804517810599479,0.9015317286652079,0.8956521739130435,0.9873279335235857
115,0.9826238053866203,0.9095022624434389,0.8739130434782608,0.9887548262548262,0.9769765421372719,0.886021505376344,0.8956521739130435,0.9860332382071513,0.9800173761946134,0.8991228070175439,0.8913043478260869,0.9874559341950646
116,0.9826238053866203,0.9095022624434389,0.8739130434782608,0.9886981702199095,0.9769765421372719,0.886021505376344,0.8956521739130435,0.9859493033406077,0.9800173761946134,0.8991228070175439,0.8913043478260869,0.9873950814168206
117,0.9830582102519548,0.9115646258503401,0.8739130434782608,0.9886373174416653,0.9765421372719374,0.8841201716738197,0.8956521739130435,0.9858800570757094,0.9800173761946134,0.8991228070175439,0.8913043478260869,0.9873237367802585
118,0.9826238053866203,0.9095022624434389,0.8739130434782608,0.988643612556656,0.9774109470026064,0.8879310344827587,0.8956521739130435,0.98572267920094,0.9800173761946134,0.8986784140969163,0.8869565217391304,0.9872943595769682
119,0.9826238053866203,0.9095022624434389,0.8739130434782608,0.9886268255833474,0.9769765421372719,0.886021505376344,0.8956521739130435,0.9856030720161155,0.9804517810599479,0.9006622516556292,0.8869565217391304,0.9872565888870237
120,0.9826238053866203,0.9095022624434389,0.8739130434782608,0.9886226288400202,0.9774109470026064,0.8879310344827587,0.8956521739130435,0.9855023501762633,0.9804517810599479,0.9002217294900222,0.8826086956521739,0.987193637737116
121,0.9830582102519548,0.9115646258503401,0.8739130434782608,0.9887800067147894,0.9769765421372719,0.8855291576673866,0.8913043478260869,0.9855569078395165,0.9804517810599479,0.9006622516556292,0.8869565217391304,0.9873237367802585
122,0.9826238053866203,0.9095022624434389,0.8739130434782608,0.9888177774047339,0.9769765421372719,0.8855291576673866,0.8913043478260869,0.9854750713446365,0.9804517810599479,0.9006622516556292,0.8869565217391304,0.9873363270102402
123,0.9826238053866203,0.9090909090909091,0.8695652173913043,0.9887653181131443,0.9774109470026064,0.8879310344827587,0.8956521739130435,0.9853512674164849,0.9800173761946134,0.8982300884955752,0.8826086956521739,0.9873048514352862
